E06000053,Isles of Scilly, 320 , 112 , 162 , 345 ,34.1,11.9,17.3,36.7
E06000054,Wiltshire," 80,220 "," 66,093 "," 31,228 "," 37,540 ",37.3,30.7,14.5,17.5
E06000055,Bedford," 23,359 "," 25,032 "," 12,200 "," 14,358 ",31.2,33.4,16.3,19.2
E06000056,Central Bedfordshire," 40,618 "," 47,417 "," 16,077 "," 16,642 ",33.6,39.3,13.3,13.8
E06000057,Northumberland," 56,684 "," 39,905 "," 26,085 "," 24,248 ",38.6,27.2,17.8,16.5
E06000058,"Bournemouth, Christchurch and Poole"," 59,736 "," 50,711 "," 19,102 "," 44,293 ",34.4,29.2,11.0,25.5
E06000059,Dorset," 77,561 "," 43,213 "," 20,836 "," 27,651 ",45.8,25.5,12.3,16.3
E06000060,Buckinghamshire," 77,213 "," 79,839 "," 28,535 "," 34,740 ",35.0,36.2,13.0,15.8
E06000061,North Northamptonshire," 47,617 "," 51,005 "," 22,671 "," 27,625 ",32.0,34.3,15.2,18.6
E06000062,West Northamptonshire," 53,782 "," 60,820 "," 24,811 "," 33,226 ",31.2,35.2,14.4,19.2
E07000008,Cambridge," 12,897 "," 11,106 "," 11,890 "," 16,581 ",24.6,21.2,22.7,31.6
E07000009,East Cambridgeshire," 13,485 "," 12,387 "," 5,200 "," 6,130 ",36.2,33.3,14.0,16.5
E07000010,Fenland," 16,632 "," 13,056 "," 5,581 "," 8,814 ",37.7,29.6,12.7,20.0
E07000011,Huntingdonshire," 27,621 "," 26,453 "," 9,886 "," 12,920 ",35.9,34.4,12.9,16.8
E07000012,South Cambridgeshire," 24,426 "," 23,413 "," 9,696 "," 9,461 ",36.5,34.9,14.5,14.1
E07000026,Allerdale," 18,770 "," 11,517 "," 8,313 "," 5,373 ",42.7,26.2,18.9,12.2
E07000027,Barrow-in-Furness," 12,250 "," 10,265 "," 3,451 "," 5,293 ",39.2,32.8,11.0,16.9
E07000028,Carlisle," 19,427 "," 15,039 "," 7,272 "," 8,925 ",38.3,29.7,14.4,17.6
E07000029,Copeland," 12,988 "," 8,947 "," 5,429 "," 3,424 ",42.2,29.1,17.6,11.1
E07000030,Eden," 11,661 "," 5,958 "," 2,542 "," 4,452 ",47.4,24.2,10.3,18.1
E07000031,South Lakeland," 22,394 "," 12,149 "," 5,112 "," 8,002 ",47.0,25.5,10.7,16.8
E07000032,Amber Valley," 23,051 "," 17,771 "," 7,169 "," 8,286 ",41.0,31.6,12.7,14.7
E07000033,Bolsover," 12,391 "," 10,990 "," 5,762 "," 6,119 ",35.1,31.2,16.3,17.4
E07000034,Chesterfield," 17,249 "," 12,982 "," 9,967 "," 7,860 ",35.9,27.0,20.7,16.4
E07000035,Derbyshire Dales," 15,405 "," 8,143 "," 4,075 "," 4,660 ",47.7,25.2,12.6,14.4
E07000036,Erewash," 18,887 "," 16,550 "," 6,398 "," 8,501 ",37.5,32.9,12.7,16.9
E07000037,High Peak," 16,367 "," 12,846 "," 4,957 "," 6,602 ",40.1,31.5,12.2,16.2
E07000038,North East Derbyshire," 18,959 "," 13,737 "," 8,597 "," 4,694 ",41.2,29.9,18.7,10.2
E07000039,South Derbyshire," 16,388 "," 17,689 "," 4,466 "," 6,696 ",36.2,39.1,9.9,14.8
E07000040,East Devon," 31,228 "," 17,914 "," 6,898 "," 10,748 ",46.8,26.8,10.3,16.1
E07000041,Exeter," 16,369 "," 14,286 "," 8,727 "," 13,172 ",31.1,27.2,16.6,25.1
E07000042,Mid Devon," 14,110 "," 10,353 "," 4,504 "," 6,664 ",39.6,29.1,12.6,18.7
E07000043,North Devon," 18,055 "," 11,502 "," 4,811 "," 8,830 ",41.8,26.6,11.1,20.4
E07000044,South Hams," 17,708 "," 10,636 "," 4,653 "," 6,340 ",45.0,27.0,11.8,16.1
E07000045,Teignbridge," 25,889 "," 17,545 "," 5,694 "," 10,709 ",43.3,29.3,9.5,17.9
E07000046,Torridge," 13,870 "," 7,581 "," 2,847 "," 6,160 ",45.5,24.9,9.3,20.2
E07000047,West Devon," 11,569 "," 6,219 "," 2,495 "," 4,535 ",46.6,25.1,10.1,18.3
E07000061,Eastbourne," 16,305 "," 11,194 "," 5,940 "," 12,171 ",35.7,24.5,13.0,26.7
E07000062,Hastings," 12,644 "," 10,446 "," 5,771 "," 11,590 ",31.3,25.8,14.3,28.7
E07000063,Lewes," 18,524 "," 12,959 "," 4,774 "," 7,431 ",42.4,29.7,10.9,17.0
E07000064,Rother," 20,395 "," 10,582 "," 4,293 "," 6,832 ",48.4,25.1,10.2,16.2
E07000065,Wealden," 30,510 "," 22,827 "," 5,701 "," 9,228 ",44.7,33.4,8.4,13.5
E07000066,Basildon," 23,029 "," 26,144 "," 16,213 "," 10,977 ",30.2,34.2,21.2,14.4
E07000067,Braintree," 22,262 "," 22,303 "," 10,593 "," 9,825 ",34.3,34.3,16.3,15.1
E07000068,Brentwood," 11,797 "," 11,675 "," 3,660 "," 5,211 ",36.5,36.1,11.3,16.1
E07000069,Castle Point," 16,937 "," 13,135 "," 2,051 "," 5,266 ",45.3,35.1,5.5,14.1
E07000070,Chelmsford," 27,057 "," 26,570 "," 10,017 "," 11,757 ",35.9,35.2,13.3,15.6
E07000071,Colchester," 26,126 "," 25,771 "," 10,585 "," 17,229 ",32.8,32.3,13.3,21.6
E07000072,Epping Forest," 19,180 "," 19,160 "," 7,993 "," 8,226 ",35.2,35.1,14.7,15.1
E07000073,Harlow," 8,723 "," 12,121 "," 11,097 "," 5,915 ",23.0,32.0,29.3,15.6
E07000074,Maldon," 12,224 "," 9,261 "," 3,132 "," 3,283 ",43.8,33.2,11.2,11.8
E07000075,Rochford," 15,572 "," 13,307 "," 2,871 "," 3,808 ",43.8,37.4,8.1,10.7
E07000076,Tendring," 31,510 "," 17,019 "," 5,506 "," 13,417 ",46.7,25.2,8.2,19.9
E07000077,Uttlesford," 13,177 "," 13,568 "," 4,809 "," 5,401 ",35.7,36.7,13.0,14.6
E07000078,Cheltenham," 18,362 "," 15,670 "," 6,432 "," 12,435 ",34.7,29.6,12.2,23.5
E07000079,Cotswold," 16,177 "," 11,129 "," 6,232 "," 7,059 ",39.8,27.4,15.4,17.4
E07000080,Forest of Dean," 16,466 "," 10,871 "," 4,836 "," 5,044 ",44.2,29.2,13.0,13.6
E07000081,Gloucester," 17,510 "," 18,499 "," 7,537 "," 11,860 ",31.6,33.4,13.6,21.4
E07000082,Stroud," 21,548 "," 17,163 "," 6,430 "," 7,237 ",41.1,32.8,12.3,13.8
E07000083,Tewkesbury," 15,984 "," 13,893 "," 5,198 "," 5,856 ",39.1,33.9,12.7,14.3
E07000084,Basingstoke and Deane," 23,475 "," 27,645 "," 13,711 "," 11,814 ",30.6,36.1,17.9,15.4
E07000085,East Hampshire," 21,080 "," 18,147 "," 6,607 "," 6,885 ",40.0,34.4,12.5,13.1
E07000086,Eastleigh," 20,012 "," 21,539 "," 7,430 "," 7,943 ",35.2,37.8,13.1,14.0
E07000087,Fareham," 21,154 "," 17,379 "," 3,959 "," 6,147 ",43.5,35.7,8.1,12.6
E07000088,Gosport," 12,314 "," 10,969 "," 5,862 "," 6,775 ",34.3,30.5,16.3,18.9
E07000089,Hart," 14,958 "," 16,046 "," 3,514 "," 5,447 ",37.4,40.2,8.8,13.6
E07000090,Havant," 20,869 "," 15,995 "," 9,989 "," 6,736 ",38.9,29.8,18.6,12.6
E07000091,New Forest," 36,150 "," 21,875 "," 8,367 "," 11,175 ",46.6,28.2,10.8,14.4
E07000092,Rushmoor," 9,979 "," 14,474 "," 6,369 "," 8,481 ",25.4,36.8,16.2,21.6
E07000093,Test Valley," 19,742 "," 19,023 "," 7,842 "," 8,099 ",36.1,34.8,14.3,14.8
E07000094,Winchester," 18,648 "," 15,972 "," 7,937 "," 9,155 ",36.1,30.9,15.3,17.7
E07000095,Broxbourne," 13,178 "," 14,599 "," 5,683 "," 6,390 ",33.1,36.6,14.3,16.0
E07000096,Dacorum," 19,598 "," 21,331 "," 13,320 "," 9,163 ",30.9,33.6,21.0,14.4
E07000098,Hertsmere," 13,227 "," 14,660 "," 7,401 "," 7,394 ",31.0,34.3,17.3,17.3
E07000099,North Hertfordshire," 18,933 "," 18,470 "," 10,594 "," 8,736 ",33.4,32.6,18.7,15.4
E07000102,Three Rivers," 12,806 "," 13,610 "," 5,467 "," 4,974 ",34.7,36.9,14.8,13.5
E07000103,Watford," 9,577 "," 12,687 "," 6,172 "," 11,193 ",24.2,32.0,15.6,28.2
E07000105,Ashford," 18,032 "," 18,482 "," 7,501 "," 9,568 ",33.7,34.5,14.0,17.9
E07000106,Canterbury," 24,477 "," 17,422 "," 7,800 "," 14,093 ",38.4,27.3,12.2,22.1
E07000107,Dartford," 12,302 "," 18,736 "," 6,314 "," 8,342 ",26.9,41.0,13.8,18.3
E07000108,Dover," 19,753 "," 14,112 "," 7,039 "," 9,648 ",39.1,27.9,13.9,19.1
E07000109,Gravesham," 13,018 "," 13,385 "," 7,270 "," 8,051 ",31.2,32.1,17.4,19.3
E07000110,Maidstone," 24,192 "," 25,149 "," 9,507 "," 12,360 ",34.0,35.3,13.4,17.4
E07000111,Sevenoaks," 18,769 "," 17,210 "," 6,465 "," 6,570 ",38.3,35.1,13.2,13.4
E07000112,Folkestone and Hythe," 18,966 "," 13,206 "," 5,251 "," 10,914 ",39.2,27.3,10.9,22.6
E07000113,Swale," 20,788 "," 20,547 "," 8,041 "," 11,119 ",34.4,34.0,13.3,18.4
E07000114,Thanet," 22,731 "," 15,713 "," 7,396 "," 16,360 ",36.5,25.3,11.9,26.3
E07000115,Tonbridge and Malling," 18,379 "," 20,234 "," 8,255 "," 6,703 ",34.3,37.8,15.4,12.5
E07000116,Tunbridge Wells," 16,324 "," 15,590 "," 7,029 "," 9,281 ",33.9,32.3,14.6,19.2
E07000117,Burnley," 13,051 "," 10,876 "," 6,209 "," 9,735 ",32.7,27.3,15.6,24.4
E07000118,Chorley," 18,558 "," 17,956 "," 6,637 "," 6,984 ",37.0,35.8,13.2,13.9
E07000119,Fylde," 16,369 "," 10,863 "," 3,134 "," 7,240 ",43.5,28.9,8.3,19.3
E07000120,Hyndburn," 11,917 "," 10,107 "," 4,711 "," 8,055 ",34.3,29.1,13.5,23.2
E07000121,Lancaster," 23,152 "," 17,602 "," 6,153 "," 13,071 ",38.6,29.3,10.3,21.8
E07000122,Pendle," 14,127 "," 10,676 "," 4,491 "," 8,772 ",37.1,28.0,11.8,23.0
E07000123,Preston," 18,219 "," 17,035 "," 10,983 "," 13,370 ",30.6,28.6,18.4,22.4
E07000124,Ribble Valley," 11,654 "," 8,938 "," 2,151 "," 4,004 ",43.6,33.4,8.0,15.0
E07000125,Rossendale," 10,560 "," 10,262 "," 4,514 "," 5,225 ",34.6,33.6,14.8,17.1
E07000126,South Ribble," 19,428 "," 17,895 "," 5,039 "," 6,223 ",40.0,36.8,10.4,12.8
E07000127,West Lancashire," 18,987 "," 15,780 "," 6,958 "," 6,809 ",39.1,32.5,14.3,14.0
E07000128,Wyre," 22,699 "," 14,946 "," 3,871 "," 9,253 ",44.7,29.4,7.6,18.2
E07000129,Blaby," 17,012 "," 16,609 "," 3,497 "," 5,457 ",40.0,39.0,8.2,12.8
E07000130,Charnwood," 27,619 "," 24,654 "," 8,632 "," 12,880 ",37.4,33.4,11.7,17.5
E07000131,Harborough," 16,484 "," 14,953 "," 3,531 "," 5,446 ",40.8,37.0,8.7,13.5
E07000132,Hinckley and Bosworth," 19,715 "," 17,525 "," 5,049 "," 7,156 ",39.9,35.4,10.2,14.5
E07000133,Melton," 9,160 "," 7,120 "," 2,416 "," 3,903 ",40.5,31.5,10.7,17.3
E07000134,North West Leicestershire," 16,599 "," 16,169 "," 6,089 "," 6,117 ",36.9,36.0,13.5,13.6
E07000135,Oadby and Wigston," 9,711 "," 7,464 "," 1,793 "," 3,648 ",42.9,33.0,7.9,16.1
E07000136,Boston," 9,967 "," 7,714 "," 5,726 "," 5,997 ",33.9,26.2,19.5,20.4
E07000137,East Lindsey," 29,907 "," 14,424 "," 7,295 "," 13,128 ",46.2,22.3,11.3,20.3
E07000138,Lincoln," 11,092 "," 10,761 "," 8,953 "," 11,700 ",26.1,25.3,21.1,27.5
E07000139,North Kesteven," 20,386 "," 17,260 "," 5,113 "," 8,230 ",40.0,33.9,10.0,16.1
E07000140,South Holland," 16,604 "," 12,153 "," 4,936 "," 7,010 ",40.8,29.9,12.1,17.2
E07000141,South Kesteven," 23,765 "," 19,809 "," 7,851 "," 11,422 ",37.8,31.5,12.5,18.2
E07000142,West Lindsey," 17,553 "," 12,597 "," 4,605 "," 7,590 ",41.5,29.7,10.9,17.9
E07000143,Breckland," 24,126 "," 16,768 "," 8,507 "," 10,957 ",40.0,27.8,14.1,18.2
E07000144,Broadland," 26,448 "," 18,586 "," 5,619 "," 7,107 ",45.8,32.2,9.7,12.3
E07000145,Great Yarmouth," 16,978 "," 10,671 "," 7,213 "," 9,683 ",38.1,24.0,16.2,21.7
E07000146,King's Lynn and West Norfolk," 28,053 "," 17,473 "," 9,180 "," 12,758 ",41.6,25.9,13.6,18.9
E07000147,North Norfolk," 23,509 "," 10,034 "," 6,275 "," 8,556 ",48.6,20.7,13.0,17.7
E07000148,Norwich," 14,312 "," 13,160 "," 19,518 "," 17,467 ",22.2,20.4,30.3,27.1
E07000149,South Norfolk," 25,720 "," 19,931 "," 7,184 "," 8,546 ",41.9,32.5,11.7,13.9
E07000163,Craven," 11,826 "," 7,021 "," 2,494 "," 4,728 ",45.4,26.9,9.6,18.1
E07000164,Hambleton," 17,772 "," 10,728 "," 5,468 "," 6,832 ",43.6,26.3,13.4,16.7
E07000165,Harrogate," 28,936 "," 21,618 "," 7,022 "," 13,593 ",40.7,30.4,9.9,19.1
E07000166,Richmondshire," 8,518 "," 5,093 "," 2,441 "," 4,894 ",40.7,24.3,11.7,23.4
E07000167,Ryedale," 10,820 "," 5,876 "," 3,171 "," 4,848 ",43.8,23.8,12.8,19.6
E07000168,Scarborough," 21,164 "," 11,792 "," 7,070 "," 11,098 ",41.4,23.1,13.8,21.7
E07000169,Selby," 14,590 "," 14,772 "," 4,851 "," 5,349 ",36.9,37.3,12.3,13.5
E07000170,Ashfield," 19,484 "," 17,487 "," 8,130 "," 9,408 ",35.7,32.1,14.9,17.3
E07000171,Bassetlaw," 19,442 "," 15,889 "," 7,697 "," 8,430 ",37.8,30.9,15.0,16.4
E07000172,Broxtowe," 19,301 "," 15,304 "," 5,337 "," 8,420 ",39.9,31.6,11.0,17.4
E07000173,Gedling," 20,649 "," 17,687 "," 4,995 "," 8,220 ",40.1,34.3,9.7,15.9
E07000174,Mansfield," 16,668 "," 14,302 "," 7,865 "," 9,196 ",34.7,29.8,16.4,19.1
E07000175,Newark and Sherwood," 20,525 "," 16,705 "," 7,413 "," 8,689 ",38.5,31.3,13.9,16.3
E07000176,Rushcliffe," 20,508 "," 17,777 "," 4,273 "," 7,325 ",41.1,35.6,8.6,14.7
E07000177,Cherwell," 21,431 "," 22,661 "," 8,742 "," 13,059 ",32.5,34.4,13.3,19.8
E07000178,Oxford," 13,993 "," 11,835 "," 11,554 "," 17,857 ",25.3,21.4,20.9,32.3
E07000179,South Oxfordshire," 23,180 "," 21,131 "," 7,386 "," 9,801 ",37.7,34.4,12.0,15.9
E07000180,Vale of White Horse," 20,812 "," 19,453 "," 8,206 "," 9,026 ",36.2,33.8,14.3,15.7
E07000181,West Oxfordshire," 17,963 "," 15,077 "," 6,363 "," 8,578 ",37.4,31.4,13.3,17.9
E07000187,Mendip," 20,657 "," 14,489 "," 6,051 "," 9,097 ",41.1,28.8,12.0,18.1
E07000188,Sedgemoor," 21,144 "," 16,170 "," 6,887 "," 9,703 ",39.2,30.0,12.8,18.0
E07000189,South Somerset," 31,355 "," 21,066 "," 10,733 "," 12,782 ",41.3,27.7,14.1,16.8
E07000192,Cannock Chase," 14,718 "," 14,735 "," 7,031 "," 6,972 ",33.9,33.9,16.2,16.0
E07000193,East Staffordshire," 18,695 "," 15,940 "," 6,634 "," 10,024 ",36.4,31.1,12.9,19.5
E07000194,Lichfield," 18,902 "," 14,973 "," 5,932 "," 5,825 ",41.4,32.8,13.0,12.8
E07000195,Newcastle-under-Lyme," 20,435 "," 16,066 "," 9,142 "," 7,780 ",38.3,30.1,17.1,14.6
E07000196,South Staffordshire," 20,310 "," 14,451 "," 6,471 "," 4,889 ",44.0,31.3,14.0,10.6
